sourcetype,PROFILE_CODE,Classification,Flow_Type
dbx:CerillionBahamasOracle,F22P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX23,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F23R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F23P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX24,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F24R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F24P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX31,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F31R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F31P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX32,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F32R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F32P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX40,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,F40R,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,F40P,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX41,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,F41R,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,F41P,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX42,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF02,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,YP01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PW15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF15,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF17,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF18,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF7R,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF8R,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF20,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF21,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F20P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F06P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,F06R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX04,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,64,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,65,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,66,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,67,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,68,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,69,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,70,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,71,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,72,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,73,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,74,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,75,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,76,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,77,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,78,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,83,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,88,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,93,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX29,LNP,MNP_Portout
dbx:CerillionBahamasOracle,DP01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,WSA1,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,WSA2,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX08,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX09,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX13,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX14,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PL01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PL02,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PL03,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PT01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,PD01,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,P50P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P51P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P52P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PT02,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,PT03,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,PD02,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,P50R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P51R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,P52R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX50,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX51,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,PX52,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX60,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,B25R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B25P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,B31R,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,B31P,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB45,Suspension,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB46,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB25,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB31,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF03,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF04,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF05,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF2R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF2P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF3R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF3P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF4R,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF4P,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF40,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF07,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,TF08,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX19,Recover,WorkOrder_Flow
dbx:CerillionBahamasOracle,FX25,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BA10,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BA12,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB10,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB11,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB12,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB13,New,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB61,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB62,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB50,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB51,Change,WorkOrder_Flow
dbx:CerillionBahamasOracle,BB52,Change,WorkOrder_Flow
